Date,Scrip,Open,High,Low,Close,Volume
20260709,00DS30,2169.24295,2181.4268,2168.32142,2177.76114,14284684000
20260709,00DSES,1186.63433,1191.27903,1184.87706,1189.10663,14284684000
20260709,00DSEX,5770.27356,5809.92706,5776.33998,5804.06354,14284684000
20260709,00DSMEX,1341.91673,1354.63587,1318.86324,1318.86324,69246000
20260709,1JANATAMF,3.3,3.3,3.2,3.3,709289
20260709,1STPRIMFMF,23.5,24.9,23.5,24.1,991698
20260709,AAMRANET,21,21.9,21,21.8,601320
20260709,AAMRATECH,18.5,18.5,17.8,18,359850
20260709,ABB1STMF,3.6,3.6,3.4,3.5,4639503
20260709,ABBANK,4.9,5,4.8,4.9,819531
20260709,ACFL,24.1,24.1,23.6,23.9,57313
20260709,ACHIASF,36.5,36.5,34.5,34.8,202268
20260709,ACI,199.5,206.8,197,203.1,69219
20260709,ACIFORMULA,151.9,153.5,150.5,152.9,90721
20260709,ACMELAB,84,85.6,84,84.5,968563
20260709,ACMEPL,23.5,23.7,23.2,23.3,2146431
20260709,ACTIVEFINE,6.9,7.4,6.9,7.3,1694732
20260709,ADNTEL,70,70.9,69.5,69.7,846427
20260709,ADVENT,15.7,16,15.6,15.9,515115
20260709,AFCAGRO,7.9,8,7.7,7.9,314621
20260709,AFTABAUTO,30.2,31.2,30.2,31.1,412364
20260709,AGNISYSL,31.6,32.7,31.6,31.9,3770427
20260709,AGRANINS,28.5,29,27.7,28.8,1281225
20260709,AIBL1STIMF,5.2,5.4,4.9,5.3,7724566
20260709,AIL,36.7,38,36.4,37,556513
20260709,AL-HAJTEX,101.5,102.5,101,101.6,208981
20260709,ALARABANK,16,16.6,15.8,16,1263372
20260709,ALIF,5.7,5.9,5.6,5.7,798666
20260709,ALLTEX,18,18.3,18,18.1,215165
20260709,AMANFEED,33.6,34.7,33.6,34.3,1896483
20260709,AMBEEPHA,757,767.9,757,760.7,1544
20260709,AMCL(PRAN),226,228.4,224.6,225.8,9122
20260709,AMPL,101.2,102.9,98,100,42303
20260709,ANLIMAYARN,33.5,36.6,33.5,36.2,229958
20260709,ANWARGALV,114.8,118.4,113.9,117.2,518463
20260709,AOL,17.5,17.9,17.5,17.6,364784
20260709,AOPLC,11.4,11.4,10.5,10.5,149505
20260709,APEXFOODS,300,303,293.3,294.2,64826
20260709,APEXFOOT,212.8,212.8,210.2,211.3,191673
20260709,APEXSPINN,433,433,402.5,414.1,382513
20260709,APEXTANRY,105,105.2,101.6,102.1,239247
20260709,APEXWEAV,12.2,12.4,11.3,11.5,102586
20260709,APOLOISPAT,3.3,3.3,3.1,3.2,346761
20260709,ARAMIT,205.8,208.9,198.3,206.6,28106
20260709,ARAMITCEM,12.1,12.1,11.4,11.8,86115
20260709,ARGONDENIM,22,22.1,21.5,21.6,2209172
20260709,ASIAINS,43.7,44.4,42.5,44.1,737538
20260709,ASIAPACINS,47,48,45.8,47.9,499770
20260709,ASIATICLAB,142,143.9,139.9,141.6,594808
20260709,ATLASBANG,81.8,89.2,81.8,89.1,93671
20260709,AZIZPIPES,76.2,78,74.8,75.9,27329
20260709,BANGAS,135.2,137.9,134.5,137.3,91270
20260709,BANKASIA,18.3,18.4,18.1,18.3,424473
20260709,BARKAPOWER,8.3,8.4,8.2,8.4,705001
20260709,BATASHOE,866.9,899.9,866.9,873.6,903
20260709,BATBC,219,219,217.3,217.9,116939
20260709,BAYLEASING,4.5,4.6,4.4,4.5,285987
20260709,BBS,15.6,15.6,15.2,15.4,1472270
20260709,BBSCABLES,23.2,23.4,23,23.1,1314343
20260709,BDAUTOCA,206.2,211.8,205.4,209.7,88842
20260709,BDCOM,34.8,35.6,34.1,34.3,2803366
20260709,BDFINANCE,12.9,13.2,12.7,12.9,276505
20260709,BDLAMPS,186,186.8,179,179.4,55343
20260709,BDPAINTS,54.2,54.2,50.2,51.1,173667
20260709,BDTHAI,18.7,18.9,18.4,18.5,3822107
20260709,BDTHAIFOOD,24.5,24.5,23.8,23.9,1510256
20260709,BDWELDING,14.3,15.2,14.3,15.1,464081
20260709,BEACHHATCH,33.2,34,33.2,33.7,301648
20260709,BEACONPHAR,113.4,113.5,111.9,112.1,405531
20260709,BENGALBISC,85.9,88.7,83,85.1,3933
20260709,BENGALWTL,25.3,25.5,25.1,25.2,652216
20260709,BERGERPBL,1393.9,1395,1388.2,1392,13112
20260709,BESTHLDNG,14,16,14,15.8,2271701
20260709,BEXGSUKUK,73.5,74.5,73,73.5,18145
20260709,BEXIMCO,27.7,28.9,27.5,28.2,7503379
20260709,BGIC,41.6,43,41.4,42.9,386330
20260709,BIFC,4.5,4.5,4.2,4.2,127802
20260709,BNICL,114.2,120.6,113.9,118,670078
20260709,BPML,28.6,29.1,28.3,28.9,146370
20260709,BPPL,21,21.3,20.8,21.2,2973750
20260709,BRACBANK,62.3,62.6,60.8,61.8,2794104
20260709,BSC,117.6,123.1,117.6,121.6,2712925
20260709,BSCPLC,155.9,163,155,161.4,458673
20260709,BSRMLTD,105.2,107,103.7,104.5,387116
20260709,BSRMSTEEL,88.8,90.6,88.1,90.1,1227549
20260709,BXPHARMA,154.9,155.5,151.8,153.7,1309421
20260709,CAPITECGBF,7.8,8,7.7,7.8,2400153
20260709,CAPMBDBLMF,10.4,10.4,10,10.1,1127697
20260709,CAPMIBBLMF,13,14.1,13,14,3325544
20260709,CENTRALINS,42.4,43.7,42.3,43.6,536305
20260709,CENTRALPHL,10.7,11.3,10.7,11.1,2399773
20260709,CITYBANK,30.2,30.9,30,30.7,1970258
20260709,CITYGENINS,107,107.5,107,107.3,40213
20260709,CLICL,54.8,55,53.4,54.6,315919
20260709,CNATEX,3.2,3.2,3,3.1,512235
20260709,CONFIDCEM,67.2,70.1,67.2,68.8,1129435
20260709,CONTININS,36.4,38.8,36.1,38.1,2138607
20260709,COPPERTECH,27.5,27.6,27.1,27.2,695336
20260709,CRAFTSMAN,34.9,35.5,34.2,35,57107
20260709,CROWNCEMNT,66.4,67.5,65.9,66.9,63479
20260709,CRYSTALINS,72.2,73.8,71.1,73,357236
20260709,CVOPRL,168.9,172.1,167,171.1,317205
20260709,DACCADYE,17.8,17.8,17.3,17.5,313359
