আপনার দেওয়া তালিকার তথ্যের ভিত্তিতে CSV ফরম্যাটের জন্য কমা দিয়ে নিচে সাজিয়ে দেওয়া হলো:

date,ticker,high,low,close,volume
7/12/2026,1JANATAMF,3.6,3.2,3.5,5751599
7/12/2026,1STPRIMFMF,25.9,24.5,25.5,1568440
7/12/2026,AAMRANET,23,21.3,21.7,768420
7/12/2026,AAMRATECH,18.1,17.1,17.2,304182
7/12/2026,ABB1STMF,3.8,3.5,3.8,11729488
7/12/2026,ABBANK,5,4.8,4.8,496084
7/12/2026,ACFL,24.2,23.6,23.7,36247
7/12/2026,ACHIASF,37.9,34.2,34.5,29193
7/12/2026,ACI,205.3,202.3,203.3,79572
7/12/2026,ACIFORMULA,157,153,155.8,97744
7/12/2026,ACMELAB,86.7,84.7,85.5,1132132
7/12/2026,ACMEPL,23.6,22.8,22.9,3075111
7/12/2026,ACTIVEFINE,7.3,6.7,6.8,1907803
7/12/2026,ADNTEL,73,69.6,72.3,1469431
7/12/2026,ADVENT,16.2,15.8,16.2,1116861
7/12/2026,AFCAGRO,7.9,7.2,7.2,763060
7/12/2026,AFTABAUTO,32.3,31.1,32,523074
7/12/2026,AGNISYSL,32.3,31.3,31.5,2367837
7/12/2026,AGRANINS,31.6,29,31.5,1704588
7/12/2026,AIBL1STIMF,5.8,5.2,5.8,6579693
7/12/2026,AIL,37.5,36.6,37.2,689226
7/12/2026,ALARABANK,16.6,15.8,16,1302943
7/12/2026,AL-HAJTEX,106.4,100.8,105.4,602528
7/12/2026,ALIF,5.8,5.5,5.5,962642
7/12/2026,ALLTEX,18.2,17.7,18.1,144828
7/12/2026,AMANFEED,34.8,33.8,34,1214492
7/12/2026,AMBEEPHA,760.8,757,757.5,122
7/12/2026,AMCL(PRAN),230.4,224.7,230,24544
7/12/2026,AMPL,101.7,90,98.5,52444
7/12/2026,ANLIMAYARN,37.5,34.7,35.7,83383
7/12/2026,ANWARGALV,118.3,116.5,117.1,406409
7/12/2026,AOL,17.8,17.4,17.5,367351
7/12/2026,AOPLC,11.2,10.3,10.4,170636
7/12/2026,APEXFOODS,309.5,289.1,306.7,124473
7/12/2026,APEXFOOT,218,212.2,217.6,287761
7/12/2026,APEXSPINN,416.1,405.6,408,160406
7/12/2026,APEXTANRY,103.2,101.1,101.7,122182
7/12/2026,APEXWEAV,12,10.8,11.3,128419
7/12/2026,APOLOISPAT,3.1,2.9,2.9,2774845
7/12/2026,ARAMIT,207.7,202.1,203.5,10695
7/12/2026,ARAMITCEM,12,11.4,11.6,107429
7/12/2026,ARGONDENIM,22,21.4,21.5,2499660
7/12/2026,ASIAINS,45.6,44.5,44.7,1166600
7/12/2026,ASIAPACINS,50.3,48.5,49.7,677515
7/12/2026,ASIATICLAB,144.4,140.3,143,503548
7/12/2026,ATLASBANG,96.5,88,92.1,53274
7/12/2026,AZIZPIPES,75.9,71,72.5,94131
7/12/2026,BANGAS,145,138,142.8,533879
7/12/2026,BANKASIA,18.6,16.5,18.4,568121
7/12/2026,BARKAPOWER,8.5,8,8,1072999
7/12/2026,BATASHOE,882,865,873.5,108
7/12/2026,BATBC,221.5,217.5,220.4,116448
7/12/2026,BAYLEASING,4.6,4.4,4.5,335034
7/12/2026,BBS,15.7,15,15.1,1985101
7/12/2026,BBSCABLES,23.3,22.8,22.9,1976732
7/12/2026,BDAUTOCA,212.3,205,205.8,69241
7/12/2026,BDCOM,34.9,33.6,33.8,2574384
7/12/2026,BDFINANCE,13.2,12.8,12.9,221553
7/12/2026,BDLAMPS,188,180.2,187.1,118952
7/12/2026,BDPAINTS,54,50,50.7,38596
7/12/2026,BDTHAI,19.5,18.6,19.3,5728058
7/12/2026,BDTHAIFOOD,24.7,23.6,23.7,1836972
7/12/2026,BDWELDING,15.3,13.7,14,374159
7/12/2026,BEACHHATCH,34.2,33.4,33.5,337009
7/12/2026,BEACONPHAR,114.7,112,113.4,541068
7/12/2026,BENGALBISC,88.8,81.1,84.1,523
7/12/2026,BENGALWTL,25.5,24.6,24.8,539761
7/12/2026,BERGERPBL,1400,1390,1395.6,10157
7/12/2026,BESTHLDNG,16.2,15.7,16,1457786
7/12/2026,BEXGSUKUK,75,73.5,74.5,9885
7/12/2026,BEXIMCO,28.6,27.2,27.4,6192537
7/12/2026,BGIC,45.4,43,45,764308
7/12/2026,BIFC,4.4,4,4.1,260090
7/12/2026,BNICL,120.8,116,116.3,322383
7/12/2026,BPML,29.1,28.6,28.7,73991
7/12/2026,BPPL,21.5,21,21.1,2838447
7/12/2026,BRACBANK,63.9,61.9,63.3,2737028
7/12/2026,BSC,127.2,121.9,124.2,3587302
7/12/2026,BSCPLC,165.9,161.6,165.1,504982
7/12/2026,BSRMLTD,106.5,104.4,105.3,387526
7/12/2026,BSRMSTEEL,93.3,90,92.6,2012754
7/12/2026,BXPHARMA,154.7,149.5,150.7,1485335
7/12/2026,CAPITECGBF,8.5,7.9,8.3,3872634
7/12/2026,CAPMBDBLMF,10.8,10.1,10.6,4080719
7/12/2026,CAPMIBBLMF,15.4,13.6,14.8,2303616
7/12/2026,CENTRALINS,45.9,43.8,45.3,1710950
7/12/2026,CENTRALPHL,11.4,10.7,10.7,1545693
7/12/2026,CITYBANK,31.3,30.5,31.1,4355335
7/12/2026,CITYGENINS,107.4,107,107.2,95659
7/12/2026,CLICL,57.6,55,56.9,665780
7/12/2026,CNATEX,3.1,2.9,2.9,1770391
7/12/2026,CONFIDCEM,72.5,69.2,72.1,1435675
7/12/2026,CONTININS,39,37.3,37.5,1776534
7/12/2026,COPPERTECH,27.7,27.1,27.6,944410
7/12/2026,CRAFTSMAN,36.2,34.6,34.8,9305
7/12/2026,CROWNCEMNT,68.2,67,67.8,77795
7/12/2026,CRYSTALINS,74.5,73.1,73.3,445938
7/12/2026,CVOPRL,178.6,171,177.8,593224
7/12/2026,DACCADYE,17.7,16.7,16.8,316625
7/12/2026,DAFODILCOM,171.8,160.1,160.8,511433
7/12/2026,DBH,42.7,41.1,42.6,575673
7/12/2026,DBH1STMF,5.3,4.9,5.2,2035699
7/12/2026,DELTALIFE,89.9,84,87.3,978553
7/12/2026,DELTASPINN,7.4,7.1,7.2,1010413
7/12/2026,DESCO,27,26.7,26.8,97205
7/12/2026,DESHBANDHU,21.7,21.1,21.2,731443
7/12/2026,DGIC,36.1,33.3,34.5,1655074
7/12/2026,DHAKABANK,12.2,12,12.1,1148972
7/12/2026,DHAKAINS,46.4,45.5,45.7,430168
7/12/2026,DOMINAGE,81.9,74,76.7,2098292
7/12/2026,DOREENPWR,31.9,30.6,31.8,1104055
7/12/2026,DSHGARME,152.5,148.6,149.2,120840
7/12/2026,DSSL,13.7,12.9,13,10136437
7/12/2026,DULAMIACOT,182.8,164.6,179.4,136481
7/12/2026,DUTCHBANGL,47.7,46.5,46.8,1024553
7/12/2026,EASTERNINS,62.7,60.5,61.1,454036
7/12/2026,EASTLAND,31.3,28.9,30.5,2845170
7/12/2026,EASTRNLUB,2007,1909.6,1969.3,33589
7/12/2026,EBL,24.8,24.4,24.6,1730802
7/12/2026,EBL1STMF,4.6,4.2,4.6,1840044
7/12/2026,EBLNRBMF,3.5,3.3,3.5,4688141
7/12/2026,ECABLES,155.1,145.1,147.1,54001
7/12/2026,EGEN,28.7,27.8,27.9,2647367
7/12/2026,EHL,104.8,101,103,2801408
7/12/2026,EIL,35.6,34.2,34.3,2776471
7/12/2026,EMERALDOIL,31.5,26,26.3,2335907
7/12/2026,ENVOYTEX,61,59.1,59.8,935429
7/12/2026,EPGL,21.6,20.9,21,1435378
7/12/2026,ESQUIRENIT,27.5,26.7,26.8,515359
7/12/2026,ETL,14.3,13.8,13.9,4052107
7/12/2026,EXIM1STMF,3.9,3.7,3.9,3966765
7/12/2026,FAMILYTEX,2.5,2.3,2.3,1416791
7/12/2026,FARCHEM,21.3,19.8,20.5,509944
7/12/2026,FAREASTFIN,1.3,1.1,1.2,336827
7/12/2026,FAREASTLIF,24,23,23.7,162533
7/12/2026,FASFIN,1.3,1.2,1.2,408606
7/12/2026,FBFIF,3.5,3.3,3.5,2393676
7/12/2026,FEDERALINS,29.6,28.1,29.2,3879475
7/12/2026,FEKDIL,24.2,23.1,23.8,8210179
7/12/2026,FINEFOODS,517.5,490,500.1,43259
7/12/2026,FIRSTFIN,4.1,3.9,3.9,292999
7/12/2026,FORTUNE,20.2,18.5,19.4,3389426
7/12/2026,FUWANGCER,15.7,15.3,15.4,2006019
