ticker,sector,category
ACFL,Textile,A
ACI,Pharmaceuticals & Chemicals,A
ACIFORMULA,Pharmaceuticals & Chemicals,A
ACMELAB,Pharmaceuticals & Chemicals,A
ADNTEL,IT Sector,A
AGRANINS,Insurance,A
AMANFEED,Food & Allied,A
AMBEEPHA,Pharmaceuticals & Chemicals,A
AMCL(PRAN),Food & Allied,A
ANWARGALV,Engineering,A
APEXFOODS,Food & Allied,A
APEXFOOT,Tannery Industries,A
APEXSPINN,Textile,A
ARAMIT,Miscellaneous,A
ARGONDENIM,Textile,A
ASIAINS,Insurance,A
ASIAPACINS,Insurance,A
ASIATICLAB,Pharmaceuticals & Chemicals,A
BANKASIA,Bank,A
BATASHOE,Tannery Industries,A
BATBC,Food & Allied,A
BDCOM,IT Sector,A
BDLAMPS,Engineering,A
BEACONPHAR,Pharmaceuticals & Chemicals,A
BERGERPBL,Miscellaneous,A
BGIC,Insurance,A
BNICL,Insurance,A
BRACBANK,Bank,A
BSC,Services & Real Estate,A
BSCPLC,Services & Real Estate,A
BSRMLTD,Engineering,A
BSRMSTEEL,Engineering,A
BXPHARMA,Pharmaceuticals & Chemicals,A
CENTRALINS,Insurance,A
CITYBANK,Bank,A
CITYGENINS,Insurance,A
CONFIDCEM,Cement,A
CROWNCEMNT,Cement,A
CRYSTALINS,Insurance,A
CVOPRL,Fuel & Power,A
DBH,Financial Institutions,A
DELTALIFE,Insurance,A
DHAKABANK,Bank,A
DHAKAINS,Insurance,A
DOREENPWR,Fuel & Power,A
DUTCHBANGL,Bank,A
EASTERNINS,Insurance,A
EASTLAND,Insurance,A
EASTRNLUB,Fuel & Power,A
EBL,Bank,A
EHL,Services & Real Estate,A
ENVOYTEX,Textile,A
ESQUIRENIT,Textile,A
EXIMBANK,Bank,A
FBFIF,Mutual Funds,A
FEDERALINS,Insurance,A
FEKDIL,Textile,A
FINEFOODS,Food & Allied,A
GLOBALINS,Insurance,A
GP,Telecommunication,A
GQBALLPEN,Miscellaneous,A
GRAMEENS,Mutual Funds,A
GREENDELT,Insurance,A
HEIDELBCEM,Cement,A
HWAWELLTEX,Textile,A
IBNSINA,Pharmaceuticals & Chemicals,A
ICBAGRANI,Mutual Funds,A
ICICL,Insurance,A
IDLC,Financial Institutions,A
INDEXAGRO,Miscellaneous,A
