ticker,category
ACFL,A
ACI,A
ACIFORMULA,A
ACMELAB,A
ADNTEL,A
AGRANINS,A
AMANFEED,A
AMBEEPHA,A
AMCL(PRAN),A
ANWARGALV,A
APEXFOODS,A
APEXFOOT,A
APEXSPINN,A
ARAMIT,A
ARGONDENIM,A
ASIAINS,A
ASIAPACINS,A
ASIATICLAB,A
BANKASIA,A
BATASHOE,A
BATBC,A
BDCOM,A
BDLAMPS,A
BEACONPHAR,A
BERGERPBL,A
BGIC,A
BNICL,A
BRACBANK,A
BSC,A
BSCPLC,A
BSRMLTD,A
BSRMSTEEL,A
BXPHARMA,A
CENTRALINS,A
CITYBANK,A
CITYGENINS,A
CONFIDCEM,A
CROWNCEMNT,A
CRYSTALINS,A
CVOPRL,A
DBH,A
DELTALIFE,A
DHAKABANK,A
DHAKAINS,A
DOREENPWR,A
DUTCHBANGL,A
EASTERNINS,A
EASTLAND,A
EASTRNLUB,A
EBL,A
EHL,A
ENVOYTEX,A
ESQUIRENIT,A
EXIMBANK,A
FBFIF,A
FEDERALINS,A
FEKDIL,A
FINEFOODS,A
GLOBALINS,A
GP,A
GQBALLPEN,A
GRAMEENS,A
GREENDELT,A
HEIDELBCEM,A
HWAWELLTEX,A
IBNSINA,A
ICBAGRANI,A
ICICL,A
IDLC,A
INDEXAGRO,A
IPDC,A
ISLAMIINS,A
ITC,A
JAMUNABANK,A
JAMUNAOIL,A
JANATAINS,A
JMISMDL,A
KARNAPHULI,A
KBPPWBIL,A
KDSALTD,A
KOHINOOR,A
LANKABAFIN,A
LHB,A
LINDEBD,A
LOVELLO,A
MAGURAPLEX,A
MALEKSPIN,A
MARICO,A
MATINSPINN,A
MEGHNAINS,A
MEGHNALIFE,A
MERCINS,A
MIRAKHTER,A
MJLBD,A
MONOSPOOL,A
MPETROLEUM,A
MTB,A
NATLIFEINS,A
NAVANAPHAR,A
NCCBANK,A
NHFIL,A
NITOLINS,A
NORTHRNINS,A
OLYMPIC,A
ORIONINFU,A
PADMAOIL,A
PARAMOUNT,A
PEOPLESINS,A
PHARMAID,A
PHENIXINS,A
PIONEERINS,A
POPULARLIF,A
PRAGATIINS,A
PRAGATILIF,A
PREMIERCEM,A
PRIMEBANK,A
PRIMEINSUR,A
PROVATIINS,A
PTL,A
PUBALIBANK,A
PURABIGEN,A
QUASEMIND,A
RAHIMTEXT,A
RAKCERAMIC,A
RANFOUNDRY,A
RECKITTBEN,A
RELIANCE,A
RELIANCINS,A
RENATA,A
REPUBLIC,A
ROBI,A
RUNNERAUTO,A
RUPALIINS,A
RUPALILIFE,A
SANDHANINS,A
SAPORTL,A
SEMLFBSLGF,A
SEMLIBBLSF,A
SHAHJABANK,A
SIBL,A
SIMTEX,A
SINOBANGLA,A
SIPLC,A
SONALILIFE,A
SONALIPAPR,A
SONARBAINS,A
SOUTHEASTB,A
SPCL,A
SQUARETEXT,A
SQURPHARMA,A
STANDARINS,A
SUMITPOWER,A
TAKAFULINS,A
TAMIJTEX,A
TECHNODRUG,A
TRUSTBANK,A
UNILEVERCL,A
UNIONINS,A
UNIQUEHRL,A
UNITEDFIN,A
UNITEDINS,A
UPGDCL,A
UTTARABANK,A
VAMLRBBF,A
WALTONHIL,A
WATACHEM,A
ACMEPL,B
AGNISYSL,B
AL-HAJTEX,B
APEXTANRY,B
BANGAS,B
BBS,B
BBSCABLES,B
BDAUTOCA,B
BDTHAI,B
BDTHAIFOOD,B
BENGALWTL,B
BEXIMCO,B
BPPL,B
CLICL,B
CONTININS,B
COPPERTECH,B
DAFODILCOM,B
DESHBANDHU,B
DGIC,B
DOMINAGE,B
DSHGARME,B
DSSL,B
ECABLES,B
EGEN,B
EIL,B
EPGL,B
ETL,B
FARCHEM,B
FUWANGCER,B
GENEXIL,B
GHAIL,B
GOLDENSON,B
GPHISPAT,B
HAKKANIPUL,B
IBP,B
ICB,B
IFADAUTOS,B
ISNLTD,B
JHRML,B
KAY&QUE,B
LEGACYFOOT,B
MHSML,B
MIDLANDBNK,B
MLDYEING,B
MONNOAGML,B
MONNOCERA,B
MONNOFABR,B
NAHEEACP,B
NFML,B
NPOLYMER,B
NTLTUBES,B
PENINSULA,B
PRIMELIFE,B
QUEENSOUTH,B
RDFOOD,B
SAIHAMCOT,B
SAIHAMTEX,B
SALVO,B
SAMATALETH,B
SAMORITA,B
SEAPEARL,B
SHARPIND,B
SHASHADNIM,B
SHEPHERD,B
SICL,B
SILCOPHL,B
SILVAPHL,B
SONARGAON,B
SPCERAMICS,B
SUNLIFEINS,B
TILIL,B
TITASGAS,B
TOSRIFA,B
VFSTDL,B
