Date,Scrip,Open,High,Low,Close,Volume
20260505,00DS30,2023.04412,2030.70107,2014.37702,2017.16298,8322939000
20260505,00DSES,1054.80892,1064.86791,1057.67347,1060.43679,8322939000
20260505,00DSEX,5277.80549,5309.13024,5267.22628,5267.22628,8322939000
20260505,00DSMEX,1144.81338,1191.06856,1147.30202,1162.32445,117597000
20260505,1JANATAMF,3,3.1,3,3,773476
20260505,1STPRIMFMF,19.3,19.3,18.9,19,204234
20260505,AAMRANET,16.4,16.5,16,16,134255
20260505,AAMRATECH,13.4,13.4,12.2,12.5,31415
20260505,ABB1STMF,3.1,3.2,3.1,3.1,2076928
20260505,ABBANK,4.7,4.7,4.5,4.6,593467
20260505,ACFL,18.5,18.5,18.1,18.5,88070
20260505,ACHIASF,35.3,36.7,34.9,35.4,822916
20260505,ACI,192.5,192.6,187.5,188.3,40142
20260505,ACIFORMULA,142.3,144,141.5,142.4,22891
20260505,ACMELAB,76,77.3,75.8,76.6,413945
20260505,ACMEPL,24.1,24.4,23.3,23.5,4608718
20260505,ACTIVEFINE,6.6,6.8,6.5,6.6,477468
20260505,ADNTEL,61.4,61.8,60.3,60.5,298879
20260505,ADVENT,13.7,13.9,13.6,13.7,136826
20260505,AFCAGRO,6.6,7.1,6.6,7,148765
20260505,AFTABAUTO,27.3,27.6,26.7,26.8,229890
20260505,AGNISYSL,24.4,25.5,24.4,24.9,1312040
20260505,AGRANINS,22.4,22.5,21.6,21.8,122415
20260505,AIBL1STIMF,3.9,4,3.9,3.9,122487
20260505,AIL,32.8,33.3,32.4,32.5,234641
20260505,AL-HAJTEX,99.3,101.1,96.9,97.4,163448
20260505,ALARABANK,13.7,13.9,13.4,13.4,400739
20260505,ALIF,5.6,5.7,5.3,5.4,894315
20260505,ALLTEX,15.7,16.5,15.7,16.2,964217
20260505,AMANFEED,28.3,28.4,27.5,27.6,401739
20260505,AMBEEPHA,754.5,759,754.5,755.3,326
20260505,AMCL(PRAN),215.2,215.2,211.6,212.2,9607
20260505,AMPL,58,63.5,58,59.5,161900
20260505,ANLIMAYARN,20,20.1,19.6,19.7,52216
20260505,ANWARGALV,99.5,102.7,99.5,100,692417
20260505,AOL,15.8,16,15.5,15.6,217434
20260505,AOPLC,12.1,12.4,11.5,11.7,341750
20260505,APEXFOODS,274.7,274.7,259,260.8,69094
20260505,APEXFOOT,199.4,202.3,196.5,197.3,118927
20260505,APEXSPINN,352.2,352.2,330.1,330.6,205367
20260505,APEXTANRY,95.5,96.7,90.7,91.1,221868
20260505,APEXWEAV,7.6,7.8,7.2,7.3,27932
20260505,APOLOISPAT,3.5,3.5,3.2,3.3,366600
20260505,APSCLBOND,1200,1225,1200,1225,8976
20260505,ARAMIT,171.2,172.9,167.1,170.2,21592
20260505,ARAMITCEM,10.7,11.3,10.7,11,12163
20260505,ARGONDENIM,17.1,17.3,17,17.1,649807
20260505,ASIAINS,38.5,38.9,38,38.1,180943
20260505,ASIAPACINS,41.1,43.4,41.1,42.2,750995
20260505,ASIATICLAB,108.9,112.3,105.5,110.8,1978377
20260505,ATLASBANG,74.5,77.3,73.7,74.2,42557
20260505,AZIZPIPES,68,68,62,63.1,62340
20260505,BANGAS,132.9,138.8,132.9,136.1,190802
20260505,BANKASIA,20.2,20.3,19.9,19.9,1136054
20260505,BARKAPOWER,8.2,8.3,8,8,372393
20260505,BATASHOE,830,830,817,820.4,1138
20260505,BATBC,220.3,220.9,219,219.9,91894
20260505,BAYLEASING,4.7,4.8,4.4,4.4,217657
20260505,BBS,12.3,12.5,12.3,12.4,3074555
20260505,BBSCABLES,20.5,20.7,19.9,20,1028288
20260505,BDAUTOCA,230,230,215.3,216.2,185537
20260505,BDCOM,28.6,28.8,28.1,28.2,774571
20260505,BDFINANCE,12,12.1,11.8,11.8,120338
20260505,BDLAMPS,193.7,203.5,190,191.8,161667
20260505,BDPAINTS,37.4,37.4,35.4,35.5,120229
20260505,BDTHAI,12.6,12.7,12.3,12.4,1077885
20260505,BDTHAIFOOD,20.9,21.7,20.5,21.1,5744310
20260505,BDWELDING,14.5,14.7,14.5,14.6,33633
20260505,BEACHHATCH,29.4,29.7,29.4,29.6,93371
20260505,BEACONPHAR,102.7,107.3,102,106.1,821839
20260505,BENGALBISC,69.9,69.9,66.1,66.5,111
20260505,BENGALWTL,25.4,25.8,25,25.2,917465
20260505,BERGERPBL,1385,1385,1379,1379.6,2834
20260505,BESTHLDNG,12.7,13.2,12.7,12.8,396613
20260505,BEXGSUKUK,65,67.5,65,67,6885
20260505,BEXIMCO,110.1,110.1,110.1,110.1,3
20260505,BGIC,38.5,38.5,37.3,37.8,156167
20260505,BIFC,5,5.2,4.5,4.6,296380
20260505,BNICL,81.8,84.6,79.9,82.7,692636
20260505,BPML,27,29,26.6,27.2,37791
20260505,BPPL,17.2,17.5,16.7,16.8,5340835
20260505,BRACBANK,64.3478260869565,64.3478260869565,63.304347826087,63.3913043478261,433763
20260505,BSC,104,105.4,103.2,103.5,290149
20260505,BSCPLC,141.2,142,140,140.2,55904
20260505,BSRMLTD,85,85.5,84.8,85,11487
20260505,BSRMSTEEL,72.1,72.6,69,71.6,243847
20260505,BXPHARMA,117.5,127.6,117.5,126,3080187
20260505,CAPITECGBF,7.1,7.2,6.9,7,1326944
20260505,CAPMBDBLMF,12.2,12.5,12.2,12.4,607832
20260505,CAPMIBBLMF,9.1,9.7,9.1,9.4,528784
20260505,CENTRALINS,40.6,40.7,39.9,40.5,309352
20260505,CENTRALPHL,8.5,8.7,8.4,8.6,671116
20260505,CITYBANK,28.8,28.8,27.3,27.5,9455097
20260505,CITYGENINS,100.9,102,100.9,101.3,489242
20260505,CLICL,55.7,56.7,55.2,55.5,158060
20260505,CNATEX,3.5,3.6,3.3,3.3,321007
20260505,CONFIDCEM,60.7,61.4,60.7,60.8,120624
20260505,CONTININS,27.5,27.5,26.8,26.9,299037
20260505,COPPERTECH,24.3,25.6,24.2,25.2,2194380
20260505,CRAFTSMAN,40,40.8,39.4,39.6,242190
20260505,CROWNCEMNT,49.2,49.8,48.6,49,6402
20260505,CRYSTALINS,74.9,75.7,73.8,74,274050
20260505,CVOPRL,162.5,162.5,156.9,157.3,329771
20260505,DACCADYE,16,16,15.6,15.7,52067
20260505,DAFODILCOM,110,124.5,110,123.1,230378
20260505,DBH,39.5,39.9,39,39.3,235299
20260505,DBH1STMF,4.5,4.5,4.4,4.4,246491
20260505,DELTALIFE,76.5,76.9,74.7,74.9,77109
20260505,DELTASPINN,6.5,6.6,6.3,6.4,401729
20260505,DESCO,22.2,22.2,21.8,21.8,68348
20260505,DESHBANDHU,17.9,17.9,17.5,17.6,533211
20260505,DGIC,22.2,22.5,21.5,21.7,122796
20260505,DHAKABANK,12.5,12.5,12.3,12.3,1440163
20260505,DHAKAINS,39.6,40,39.1,39.2,66983
20260505,DOMINAGE,65.5,70.6,65.5,70.3,3595487
20260505,DOREENPWR,30.6,31.3,29.8,30,807567
20260505,DSHGARME,122.8,131.2,121.5,122.3,158519
20260505,DSSL,9.4,9.6,9.3,9.4,2907157
20260505,DULAMIACOT,130,130,125.3,126,12161
20260505,DUTCHBANGL,42.5,42.8,42,42.2,334768
20260505,EASTERNINS,56,56,52.7,53.1,180814
20260505,EASTLAND,21.9,22.3,21.7,21.8,448268
20260505,EASTRNLUB,1588.3,1610,1578,1581.5,7547
20260505,EBL,26.504854368932,26.7961165048544,26.3106796116505,26.504854368932,7034596
20260505,EBL1STMF,3.7,3.9,3.7,3.7,117133
20260505,EBLNRBMF,3.2,3.3,3.2,3.2,3677168
20260505,ECABLES,125.9,127,123.1,125.2,21776
20260505,EGEN,23.6,23.8,23.1,23.2,1521769
20260505,EHL,81,81.6,80.6,80.9,289811
20260505,EIL,27.1,27.3,26.4,26.5,348169
20260505,EMERALDOIL,14.4,15.5,14.4,15.5,268253
20260505,ENVOYTEX,49.2,50,48.8,49,46733
20260505,EPGL,18.7,18.8,17.6,17.7,965532
20260505,ESQUIRENIT,22.4,23.2,22.4,22.7,698923
20260505,ETL,10.7,11.3,10.6,10.8,4944320
20260505,EXIM1STMF,3.6,3.7,3.6,3.6,182548
20260505,FAMILYTEX,3,3.1,2.9,2.9,450250
20260505,FARCHEM,16.7,16.7,15.9,15.9,178932
20260505,FAREASTFIN,2.4,2.4,2.2,2.3,319028
20260505,FAREASTLIF,21.4,21.4,20.8,20.9,6700
20260505,FASFIN,2.5,2.6,2.3,2.4,353883
20260505,FBFIF,3,3.1,3,3,291803
20260505,FEDERALINS,22.6,22.9,22.3,22.4,372234
20260505,FEKDIL,14.3,14.4,14.1,14.1,946599
20260505,FINEFOODS,532,538.6,529.8,532.8,64941
20260505,FIRSTFIN,4.9,4.9,4.6,4.6,46003
20260505,FORTUNE,13,13.5,13,13.3,260246
20260505,FUWANGCER,12.8,12.9,12.6,12.6,1458752
20260505,FUWANGFOOD,9.8,10,9.7,9.8,233365
20260505,GBBPOWER,8.2,8.3,8.1,8.1,100619
20260505,GEMINISEA,113.5,115.4,113.5,113.8,7677
20260505,GENEXIL,27.2,27.3,26.6,26.7,444089
20260505,GENNEXT,3.1,3.2,3,3,571705
20260505,GHAIL,13,13,12.7,12.7,826239
20260505,GHCL,18.6,18.9,18.5,18.6,14756
20260505,GLDNJMF,6.1,6.2,6.1,6.1,132810
20260505,GLOBALINS,31.4,31.9,30.2,30.7,356645
20260505,GOLDENSON,15.2,15.3,14.6,14.7,3860417
20260505,GP,242.5,243,240.3,241.1,125317
20260505,GPHISPAT,16,16.2,15.9,16.1,411002
20260505,GQBALLPEN,637,660,630.1,651.8,124633
20260505,GRAMEENS2,12.2,12.3,12.2,12.2,55904
20260505,GREENDELMF,3.3,3.4,3.2,3.2,254302
20260505,GREENDELT,62,62,60.6,61.1,109094
20260505,GSPFINANCE,4.2,4.2,4,4,157124
20260505,HAKKANIPUL,81.2,82.9,77.8,78.4,654240
