Date,Scrip,Open,High,Low,Close,Volume
20260614,00DS30,2072.90967,2122.59404,2082.33714,2119.80944,13584710000
20260614,00DSES,1114.65416,1130.58127,1120.87172,1129.00197,13584710000
20260614,00DSEX,5520.39656,5630.36727,5543.59302,5625.34791,13584710000
20260614,00DSMEX,1402.64354,1427.85312,1383.7089,1398.46959,131078000
20260614,1JANATAMF,3,3.1,3,3.1,1472797
20260614,1STPRIMFMF,19.4,21.3,19.4,20.7,1874170
20260614,AAMRANET,19.1,19.5,18.9,19.1,577474
20260614,AAMRATECH,15.2,15.4,15,15.3,252397
20260614,ABB1STMF,3.2,3.3,3.1,3.2,2864137
20260614,ABBANK,4.5,4.8,4.5,4.7,1604322
20260614,ACFL,23.6,24.2,23.2,23.8,144839
20260614,ACHIASF,40.2,40.2,38.3,38.3,7201
20260614,ACI,192.6,193.8,190,192,65010
20260614,ACIFORMULA,143.6,145.6,143.5,144.2,47893
20260614,ACMELAB,79.4,80.8,78.9,80.6,654216
20260614,ACMEPL,24.2,24.3,23.5,24,3603533
20260614,ACTIVEFINE,7,7.5,7,7.4,1691660
20260614,ADNTEL,67,71,67,69,2024528
20260614,ADVENT,15.5,15.6,15.3,15.5,573752
20260614,AFCAGRO,7.8,8.1,7.8,8,352811
20260614,AFTABAUTO,32.3,32.9,32.2,32.5,372455
20260614,AGNISYSL,30.1,31.2,30.1,30.4,3336108
20260614,AGRANINS,27.7,28.4,27.3,28.1,430729
20260614,AIBL1STIMF,4.1,4.2,4.1,4.1,296738
20260614,AIL,33.8,34.3,33.3,34.1,200880
20260614,AL-HAJTEX,99.1,101.9,98.2,99,244520
20260614,ALARABANK,14.3,14.5,14.3,14.4,107442
20260614,ALIF,5.4,5.5,5.3,5.4,649873
20260614,ALLTEX,16.7,16.9,16.2,16.7,236819
20260614,AMANFEED,35.4,35.4,34.7,34.8,1634162
20260614,AMBEEPHA,760.8,782,760.8,775.5,880
20260614,AMCL(PRAN),220,222.5,218.4,220.2,18308
20260614,AMPL,84.2,86,83.9,84.5,32085
20260614,ANLIMAYARN,32.6,32.6,29.6,32.1,212606
20260614,ANWARGALV,122.4,123,117,117.5,1026693
20260614,AOL,18.5,18.5,17.8,17.9,308201
20260614,AOPLC,13.9,13.9,12.2,12.3,235622
20260614,APEXFOODS,277.9,277.9,269.2,272.6,31428
20260614,APEXFOOT,201.3,203.7,199.4,202.4,127017
20260614,APEXSPINN,353,359.7,338.3,349.2,181357
20260614,APEXTANRY,104.8,106.6,102.7,103.3,139648
20260614,APEXWEAV,13.2,13.8,13.1,13.4,102608
20260614,APOLOISPAT,3.4,3.4,3.3,3.4,586596
20260614,ARAMIT,181,189.9,180.2,187.8,55236
20260614,ARAMITCEM,13,13,12.4,12.4,67534
20260614,ARGONDENIM,18.9,19.7,18.9,19.3,2097930
20260614,ASIAINS,44.2,46.5,43.6,44.9,1615961
20260614,ASIAPACINS,47.5,47.5,46.1,47.2,305862
20260614,ASIATICLAB,125.2,130.6,125.2,127.8,1692455
20260614,ATLASBANG,73.9,73.9,69.4,70.1,12400
20260614,AZIZPIPES,70,71,68.1,69.8,64045
20260614,BANGAS,136.6,137.6,135,135.5,122566
20260614,BANKASIA,18.1,18.9,18,18.9,2311041
20260614,BARKAPOWER,8.4,8.8,8.3,8.5,660639
20260614,BATASHOE,870,870,860,866.6,1042
20260614,BATBC,211,217.1,211,216.9,157833
20260614,BAYLEASING,4.5,4.8,4.5,4.8,501688
20260614,BBS,14.4,14.8,14.2,14.3,2983184
20260614,BBSCABLES,22.9,24,22.9,23.6,1998143
20260614,BDAUTOCA,228.4,228.4,218.2,219.8,107030
20260614,BDCOM,30.7,32.3,30.2,31.4,3972949
20260614,BDFINANCE,14.1,14.5,13.7,13.9,801585
20260614,BDLAMPS,176.5,181.7,158.9,175.3,33775
20260614,BDPAINTS,52.9,54.9,49.7,52.9,689769
20260614,BDTHAI,17.5,18.2,17.2,18.2,16623507
20260614,BDTHAIFOOD,28.5,30,28.1,29.2,6874457
20260614,BDWELDING,16.1,16.1,15.6,15.9,109580
20260614,BEACHHATCH,33.3,33.3,32.2,33,501651
20260614,BEACONPHAR,106,113.5,105.2,112.7,1749001
20260614,BENGALBISC,84,84,84,84,1
20260614,BENGALWTL,25.1,25.3,24.7,25.1,469865
20260614,BERGERPBL,1434,1445,1434,1439.2,6980
20260614,BESTHLDNG,14.8,15.2,14.4,15.1,916002
20260614,BEXGSUKUK,70.5,71,69.5,70.5,15456
20260614,BEXIMCO,72.3,72.3,72.3,72.3,1927
20260614,BGIC,40.4,43,39.9,42,352151
20260614,BIFC,4.2,5,4.2,4.7,70674
20260614,BNICL,99.9,110,99.9,109.5,554340
20260614,BPML,28.5,29,27.5,28.7,97918
20260614,BPPL,19,19.2,18.9,19.1,2070116
20260614,BRACBANK,66.3,67.9,66.3,67.4,3146311
20260614,BSC,104.8,108.6,104.8,107.8,445095
20260614,BSCPLC,144.4,148.5,143.8,147.8,166234
20260614,BSRMLTD,89.9,91.3,88.5,91,50320
20260614,BSRMSTEEL,76.1,77.4,76,77.1,234011
20260614,BXPHARMA,126.2,127,124.6,126.3,1407692
20260614,CAPITECGBF,7.3,7.6,7.2,7.4,2264055
20260614,CAPMBDBLMF,9.8,10.3,9.7,10,1631347
20260614,CAPMIBBLMF,9.5,9.6,9.4,9.5,409856
20260614,CENTRALINS,43.2,43.3,42.1,42.8,468593
20260614,CENTRALPHL,9.1,9.4,9.1,9.3,947636
20260614,CITYBANK,29.6,30.9,29.5,30.7,8270464
20260614,CITYGENINS,105.9,106.9,105.6,106.3,204288
20260614,CLICL,59.1,59.8,57.8,58.2,558142
20260614,CNATEX,3.1,3.3,3.1,3.2,1245531
20260614,CONFIDCEM,64,65.9,63.9,65.6,507169
20260614,CONTININS,34,34.4,33,34.1,891494
20260614,COPPERTECH,29.6,30.1,28.7,29,1836516
20260614,CRAFTSMAN,38.7,38.7,37.5,37.7,32300
20260614,CROWNCEMNT,57.8,57.8,55.2,56.9,146996
20260614,CRYSTALINS,73.6,74.3,72.1,72.9,572486
20260614,CVOPRL,172.4,172.4,169.1,169.7,291327
20260614,DACCADYE,18,18.3,17.4,17.7,503765
20260614,DAFODILCOM,142.9,147.2,142.9,146.3,404247
20260614,DBH,40.3,41.8,40.1,41,1199472
20260614,DBH1STMF,4.7,4.7,4.6,4.6,533687
20260614,DELTALIFE,81,87.2,81,84.6,663366
20260614,DELTASPINN,7,7,6.8,7,451789
20260614,DESCO,24,24.2,23.8,24,242594
20260614,DESHBANDHU,20.6,21,20.6,20.6,642270
20260614,DGIC,30.2,31.5,29.9,30.2,1674937
20260614,DHAKABANK,11.7,12.5,11.7,12.3,4445296
20260614,DHAKAINS,45,46.3,44.3,45.9,225555
20260614,DOMINAGE,80,81.4,79.4,80.8,1373055
20260614,DOREENPWR,31.6,32.4,31.5,32,1113689
20260614,DSHGARME,147.6,150.7,143.1,144.5,157940
20260614,DSSL,10,10.6,10,10.4,4194424
20260614,DULAMIACOT,160.3,169.9,160.3,167.8,365180
20260614,DUTCHBANGL,41.8,43.7,41.8,43.3,992155
20260614,EASTERNINS,61.1,62.9,58.5,62.3,317108
20260614,EASTLAND,26.4,26.6,25.8,26.2,1399464
20260614,EASTRNLUB,1860.3,1868,1840.7,1843.1,10691
20260614,EBL,24.8,25.3,24.6,25.1,2649734
20260614,EBL1STMF,3.7,3.9,3.7,3.8,383789
20260614,EBLNRBMF,3,3.2,3,3.1,963872
20260614,ECABLES,128.5,128.5,125,126.7,19798
20260614,EGEN,26.1,27.3,26,26.8,3475514
20260614,EHL,89.5,92.8,89.4,91.5,876167
20260614,EIL,30.9,31.5,30.3,31.2,1391669
20260614,EMERALDOIL,22,22.7,21.4,21.5,458023
20260614,ENVOYTEX,50.1,51.2,50.1,50.9,210058
20260614,EPGL,19.2,19.3,19,19.1,396245
20260614,ESQUIRENIT,24.4,24.5,24,24.2,222723
20260614,ETL,11.9,12.2,11.9,12.1,6869633
20260614,EXIM1STMF,3.6,3.6,3.5,3.5,424785
20260614,FAMILYTEX,2.8,2.9,2.7,2.8,1801558
20260614,FARCHEM,18.9,19.1,18.5,18.9,364882
20260614,FAREASTFIN,1.2,1.3,1.2,1.2,1283486
20260614,FAREASTLIF,24.7,25,23.7,23.9,62945
20260614,FASFIN,1.3,1.3,1.3,1.3,2170549
20260614,FBFIF,3.1,3.2,3,3.1,529712
20260614,FEDERALINS,28.5,29.4,28,28.9,2306724
20260614,FEKDIL,18,18.1,16.7,17.1,5335787
20260614,FINEFOODS,559,559.9,535.6,550.9,150903
20260614,FIRSTFIN,4.2,4.4,4.2,4.3,112103
20260614,FORTUNE,16,16.4,16,16.1,1280445
20260614,FUWANGCER,15.2,15.6,15,15.2,4413804
20260614,FUWANGFOOD,11.4,11.6,11.3,11.3,602395
20260614,GBBPOWER,8.8,9.1,8.8,8.9,239121
20260614,GEMINISEA,121.4,121.7,118,119.2,41697
20260614,GENEXIL,35.5,38.2,35.5,37.1,7022763
20260614,GENNEXT,3,3.1,3,3,695975
20260614,GHAIL,14.5,15.1,14.4,14.8,4277821
20260614,GHCL,21.1,21.5,20.9,21.2,138586
20260614,GLDNJMF,6.5,6.6,6.4,6.5,1093216
20260614,GLOBALINS,38.5,40.5,37.9,39.6,2796011
20260614,GOLDENSON,16.9,17.2,16.3,16.4,4071913
20260614,GP,248,249.9,248,249.2,94814
20260614,GPHISPAT,17.8,18.2,17,18,1735972
20260614,GQBALLPEN,682,682,656,673.3,65661
20260614,GRAMEENS2,12.3,12.6,12.2,12.5,113275
20260614,GREENDELMF,3.6,3.6,3.5,3.5,76158
20260614,GREENDELT,64,65.2,62.9,64.6,507547
20260614,GSPFINANCE,3.7,3.9,3.5,3.8,167190
20260614,HAKKANIPUL,82,83.9,81.4,82.1,878440
20260614,HAMI,165,165,160,161,44841
20260614,HEIDELBCEM,239.8,243,230.1,233.5,21574
20260614,HFL,15.5,15.5,14.7,14.9,58257
20260614,HIMADRI,510,510,510,510,33
20260614,HRTEX,21.9,21.9,20.8,20.9,136317
20260614,HWAWELLTEX,44.5,44.5,44,44.3,133799
20260614,IBNSINA,314.1,315.5,313.1,313.8,47789
20260614,IBP,16.1,16.2,15.6,15.8,2968017
20260614,ICB,43.2,44.8,42.9,44.3,426387
20260614,ICB3RDNRB,4.6,4.7,4.5,4.6,699961
20260614,ICBAGRANI1,6.8,6.9,6.7,6.7,38567
20260614,ICBAMCL2ND,6.2,6.3,6.1,6.2,125693
20260614,ICBEPMF1S1,6.7,6.7,6.4,6.5,885400
20260614,ICBIBANK,2.8,2.9,2.7,2.8,519359
20260614,ICBSONALI1,5,5.1,4.9,5,474375
20260614,ICICL,29.9,31,29.9,30.5,843763
20260614,IDLC,41.3,42.7,41.3,42.2,733387
20260614,IFADAUTOS,24.6,25.1,24.6,25,1007098
20260614,IFIC,4.6,4.9,4.6,4.8,2915347
20260614,IFIC1STMF,3.6,3.6,3.5,3.5,845665
20260614,IFILISLMF1,4.2,4.3,4.2,4.2,128422
20260614,ILFSL,1.3,1.3,1.3,1.3,357480
20260614,INDEXAGRO,73.7,74.2,73.3,73.9,237868
20260614,INTECH,36.3,37.7,36.3,36.9,966698
20260614,INTRACO,20.2,20.2,19.5,19.7,728087
20260614,IPDC,24.7,26,24.7,26,5393716
20260614,ISLAMIBANK,29.5,32,29,32,267219
20260614,ISLAMICFIN,11.4,11.5,11.2,11.4,462576
20260614,ISLAMIINS,56.4,56.6,55,56,307378
